#Temperature,GStar,GStarEntropic
107806760.744725,224.000407454743,224.000407454743
97547591.0430261,224.000407438913,224.000407438913
88264710.4194895,224.000407419577,224.000407419577
79865212.6847713,224.000407395961,224.000407395961
72265032.8423971,224.000407367116,224.000407367116
65388105.7380231,224.000407331884,224.000407331884
59165604.7738055,224.000407288814,224.000407288814
53535253.0686774,224.000407236191,224.000407236191
48440700.1703929,224.000407171945,224.000407171945
43830958.0812515,224.000407093499,224.000407093499
39659890.9530957,224.000406997704,224.000406997704
35885753.3442302,224.000406880714,224.000406880714
32470772.4170125,224.000406737833,224.000406737833
29380769.8945992,224.000406563319,224.000406563319
26584819.9932657,224.000406350168,224.000406350168
24054939.9067711,224.000406089833,224.000406089833
21765809.7450294,224.000405771861,224.000405771861
19694519.1241439,224.000405383485,224.000405383485
17820337.8715884,224.000404909132,224.000404909132
16124508.5516756,224.000404329763,224.000404329763
14590058.7348431,224.000403622121,224.000403622121
13201631.1318785,224.000402754857,224.000402754857
11945329.8930435,224.000401695897,224.000401695897
10808581.5336854,224.000400404042,224.000400404042
9780009.09457113,224.000398827413,224.000398827413
8849318.27756982,224.000396902677,224.000396902677
8007194.41681115,224.00039455251,224.00039455251
7245209.25439319,224.000391682504,224.000391682504
6555736.58756125,224.000388176906,224.000388176906
5931875.94312964,224.000383895338,224.000383895338
5367383.51524391,224.000378666249,224.000378666249
4856609.67529838,224.000372279287,224.000372279287
4394442.42859435,224.000364478322,224.000364478322
3976256.25181025,224.00035495072,224.00035495072
3597865.79924151,224.000343313759,224.000343313759
3255484.01451569,224.000329057165,224.000329057165
2942740.02213254,224.000311464088,224.000311464088
2660040.47235288,224.00028995657,224.00028995657
2404499.09854738,224.000263651601,224.000263651601
2173506.91112805,224.000231469957,224.000231469957
1964705.5603836,224.000192091992,224.000192091992
1775963.25878824,224.000143903879,224.000143903879
1605353.01609851,224.000084923677,224.000084923677
1451132.96581242,224.000012745278,224.000012745278
1311728.58118687,223.999924416917,223.999924416917
1185716.60037363,223.999816311579,223.999816311579
1071810.49532348,223.999683800224,223.999683800224
968847.337613529,223.999521694794,223.999521694794
875775.924787024,223.999323445783,223.999323445783
791646.048911801,223.999080912939,223.999080912939
715598.795712778,223.998784153074,223.998784153074
